A totals: messages=20142, reactions=7766, engagements=27908
B totals: messages=20142, reactions=7766, engagements=27908

=== Category A (by combined rate) ===
emoji	combined/100eng	body/100msg	react/100react	counts(comb,body,react)
🟠	0.00	0.00	0.01	(1,0,1)
🟦	0.00	0.00	0.01	(1,0,1)
🤌	0.00	0.00	0.01	(1,0,1)
🤒	0.00	0.00	0.00	(1,1,0)
🤠	0.00	0.00	0.00	(1,1,0)
🤤	0.00	0.00	0.00	(1,1,0)
🤪	0.00	0.00	0.00	(1,1,0)
🤭	0.00	0.00	0.00	(1,1,0)
🤮	0.00	0.00	0.00	(1,1,0)
🤿	0.00	0.00	0.01	(1,0,1)
🥂	0.00	0.00	0.00	(1,1,0)
🥕	0.00	0.00	0.01	(1,0,1)
🥚	0.00	0.00	0.01	(1,0,1)
🥜	0.00	0.00	0.01	(1,0,1)
🥧	0.00	0.00	0.00	(1,1,0)
🥪	0.00	0.00	0.01	(1,0,1)
🦆	0.00	0.00	0.00	(1,1,0)
🦈	0.00	0.00	0.01	(1,0,1)
🦭	0.00	0.00	0.01	(1,0,1)
🧑‍🏫	0.00	0.00	0.00	(1,1,0)
🧑‍💻	0.00	0.00	0.00	(1,1,0)
🧘	0.00	0.00	0.00	(1,1,0)
🧡	0.00	0.00	0.01	(1,0,1)
🩶	0.00	0.00	0.00	(1,1,0)
🪀	0.00	0.00	0.00	(1,1,0)
🪄	0.00	0.00	0.01	(1,0,1)
🪅	0.00	0.00	0.00	(1,1,0)
🪇	0.00	0.00	0.00	(1,1,0)
🪟	0.00	0.00	0.01	(1,0,1)
🪷	0.00	0.00	0.01	(1,0,1)
🪻	0.00	0.00	0.00	(1,1,0)
🫁	0.00	0.00	0.01	(1,0,1)
🫂	0.00	0.00	0.01	(1,0,1)
🫖	0.00	0.00	0.00	(1,1,0)
🫥	0.00	0.00	0.01	(1,0,1)
🫩	0.00	0.00	0.01	(1,0,1)

=== Category B (by combined rate) ===
emoji	combined/100eng	body/100msg	react/100react	counts(comb,body,react)
➕	9.51	0.00	34.19	(2655,0,2655)
🙏	6.36	2.22	17.11	(1776,447,1329)
😂	3.71	0.49	12.07	(1036,99,937)
👍	3.12	0.04	11.09	(870,9,861)
❤	2.63	0.25	8.79	(734,51,683)
👑	0.81	0.03	2.83	(227,7,220)
😢	0.43	0.07	1.36	(121,15,106)
😮	0.43	0.00	1.55	(121,1,120)
😅	0.34	0.46	0.04	(95,92,3)
💪	0.19	0.09	0.45	(54,19,35)
👆	0.17	0.05	0.48	(48,11,37)
🥲	0.17	0.15	0.22	(47,30,17)
👎	0.16	0.00	0.58	(46,1,45)
🔥	0.16	0.02	0.53	(46,5,41)
✨	0.15	0.19	0.06	(43,38,5)
🤷	0.15	0.18	0.09	(43,36,7)
🤡	0.15	0.06	0.37	(42,13,29)
🤦	0.15	0.12	0.21	(41,25,16)
🌸	0.14	0.08	0.28	(38,16,22)
💔	0.13	0.02	0.42	(37,4,33)
🙃	0.13	0.14	0.10	(36,28,8)
🥳	0.12	0.08	0.23	(34,16,18)
🫶	0.12	0.11	0.14	(34,23,11)
👏	0.10	0.00	0.36	(28,0,28)
💚	0.10	0.14	0.00	(28,28,0)
💯	0.10	0.09	0.13	(28,18,10)
🤣	0.10	0.09	0.10	(27,19,8)
🙂	0.09	0.11	0.04	(26,23,3)
🫠	0.09	0.10	0.05	(25,21,4)
🤔	0.08	0.07	0.09	(22,15,7)
❌	0.08	0.01	0.23	(21,3,18)
👌	0.08	0.02	0.21	(21,5,16)
💀	0.08	0.02	0.21	(21,5,16)
☝	0.07	0.03	0.17	(19,6,13)
😭	0.07	0.06	0.08	(19,13,6)
☺	0.06	0.09	0.00	(18,18,0)
✋	0.06	0.00	0.23	(18,0,18)
👇	0.06	0.09	0.00	(18,18,0)
🙌	0.06	0.05	0.10	(18,10,8)
❗	0.06	0.03	0.13	(17,7,10)
👺	0.06	0.03	0.14	(17,6,11)
🇮🇱	0.05	0.01	0.17	(15,2,13)
😊	0.05	0.07	0.01	(15,14,1)
🥹	0.05	0.05	0.06	(15,10,5)
📢	0.05	0.07	0.00	(14,14,0)
😍	0.05	0.03	0.09	(14,7,7)
🙈	0.05	0.06	0.01	(14,13,1)
🤓	0.05	0.02	0.13	(14,4,10)
🐊	0.05	0.06	0.00	(13,13,0)
🤩	0.05	0.02	0.10	(13,5,8)
🥀	0.05	0.01	0.14	(13,2,11)
🫡	0.05	0.00	0.15	(13,1,12)
📌	0.04	0.06	0.00	(12,12,0)
📚	0.04	0.06	0.00	(12,12,0)
😕	0.04	0.04	0.04	(12,9,3)
🤚	0.04	0.00	0.15	(12,0,12)
✅	0.04	0.02	0.08	(11,5,6)
✍	0.04	0.05	0.00	(11,11,0)
😬	0.04	0.03	0.05	(11,7,4)
🤞	0.04	0.05	0.01	(11,10,1)
⚠	0.04	0.05	0.00	(10,10,0)
🎉	0.04	0.02	0.06	(10,5,5)
😇	0.04	0.04	0.03	(10,8,2)
🤬	0.04	0.04	0.03	(10,8,2)
🩷	0.04	0.04	0.01	(10,9,1)
😘	0.03	0.02	0.05	(9,5,4)
🥺	0.03	0.04	0.00	(9,9,0)
🫣	0.03	0.03	0.03	(9,7,2)
👀	0.03	0.03	0.03	(8,6,2)
🤝	0.03	0.02	0.05	(8,4,4)
🥰	0.03	0.03	0.01	(8,7,1)
❔	0.03	0.01	0.05	(7,3,4)
🐸	0.03	0.02	0.04	(7,4,3)
😡	0.03	0.00	0.08	(7,1,6)
🙋	0.03	0.01	0.06	(7,2,5)
🪖	0.03	0.03	0.00	(7,7,0)
❓	0.02	0.02	0.03	(6,4,2)
➖	0.02	0.00	0.08	(6,0,6)
😔	0.02	0.01	0.04	(6,3,3)
😳	0.02	0.01	0.05	(6,2,4)
😶	0.02	0.02	0.01	(6,5,1)
🤟	0.02	0.03	0.00	(6,6,0)
🦁	0.02	0.00	0.08	(6,0,6)
✌	0.02	0.01	0.03	(5,3,2)
🌴	0.02	0.02	0.00	(5,5,0)
👾	0.02	0.01	0.04	(5,2,3)
💙	0.02	0.02	0.00	(5,5,0)
📝	0.02	0.02	0.00	(5,5,0)
🙁	0.02	0.02	0.01	(5,4,1)
🙂‍↕	0.02	0.00	0.06	(5,0,5)
🙄	0.02	0.01	0.03	(5,3,2)
🚀	0.02	0.01	0.04	(5,2,3)
🚨	0.02	0.02	0.01	(5,4,1)
🤖	0.02	0.01	0.04	(5,2,3)
🧠	0.02	0.01	0.03	(5,3,2)
♥	0.01	0.02	0.00	(4,4,0)
🌙	0.01	0.02	0.00	(4,4,0)
🍻	0.01	0.01	0.01	(4,3,1)
🐍	0.01	0.00	0.05	(4,0,4)
👋	0.01	0.00	0.05	(4,0,4)
👩‍🎓	0.01	0.02	0.00	(4,4,0)
💃	0.01	0.01	0.03	(4,2,2)
📍	0.01	0.02	0.00	(4,4,0)
📞	0.01	0.02	0.00	(4,4,0)
📣	0.01	0.02	0.00	(4,4,0)
📧	0.01	0.02	0.00	(4,4,0)
🔔	0.01	0.02	0.00	(4,4,0)
😁	0.01	0.02	0.00	(4,4,0)
😄	0.01	0.02	0.00	(4,4,0)
😩	0.01	0.01	0.03	(4,2,2)
😱	0.01	0.00	0.05	(4,0,4)
😵‍💫	0.01	0.01	0.03	(4,2,2)
🙂‍↔	0.01	0.00	0.05	(4,0,4)
🟢	0.01	0.02	0.00	(4,4,0)
🤨	0.01	0.01	0.03	(4,2,2)
🥱	0.01	0.01	0.01	(4,3,1)
🥸	0.01	0.01	0.03	(4,2,2)
🦅	0.01	0.00	0.05	(4,0,4)
🧐	0.01	0.01	0.01	(4,3,1)
🧚	0.01	0.01	0.03	(4,2,2)
2⃣	0.01	0.00	0.04	(3,0,3)
☹	0.01	0.00	0.04	(3,0,3)
🌺	0.01	0.01	0.00	(3,3,0)
🌻	0.01	0.01	0.01	(3,2,1)
🍿	0.01	0.01	0.00	(3,3,0)
🎊	0.01	0.00	0.03	(3,1,2)
🎓	0.01	0.01	0.00	(3,3,0)
🎗	0.01	0.01	0.01	(3,2,1)
🎯	0.01	0.00	0.04	(3,0,3)
🏆	0.01	0.00	0.04	(3,0,3)
🏛	0.01	0.01	0.00	(3,3,0)
👉	0.01	0.01	0.00	(3,3,0)
👸	0.01	0.00	0.04	(3,0,3)
💛	0.01	0.01	0.01	(3,2,1)
💫	0.01	0.01	0.00	(3,3,0)
💬	0.01	0.01	0.00	(3,3,0)
🔗	0.01	0.01	0.00	(3,3,0)
🕯	0.01	0.01	0.00	(3,3,0)
🕺	0.01	0.00	0.03	(3,1,2)
🖕	0.01	0.00	0.04	(3,0,3)
😀	0.01	0.00	0.03	(3,1,2)
😆	0.01	0.01	0.01	(3,2,1)
😉	0.01	0.01	0.00	(3,3,0)
😓	0.01	0.01	0.01	(3,2,1)
😞	0.01	0.01	0.01	(3,2,1)
😠	0.01	0.00	0.04	(3,0,3)
😤	0.01	0.01	0.00	(3,3,0)
😫	0.01	0.00	0.03	(3,1,2)
🛑	0.01	0.01	0.00	(3,3,0)
🤍	0.01	0.01	0.00	(3,3,0)
🤙	0.01	0.01	0.00	(3,3,0)
🤴	0.01	0.00	0.03	(3,1,2)
🥁	0.01	0.00	0.04	(3,0,3)
🥇	0.01	0.00	0.04	(3,0,3)
🥴	0.01	0.01	0.01	(3,2,1)
🪬	0.01	0.01	0.01	(3,2,1)
🫢	0.01	0.01	0.00	(3,3,0)
‼	0.01	0.00	0.03	(2,0,2)
☠	0.01	0.00	0.01	(2,1,1)
⚡	0.01	0.00	0.01	(2,1,1)
✈	0.01	0.00	0.01	(2,1,1)
✊	0.01	0.01	0.00	(2,2,0)
➜	0.01	0.01	0.00	(2,2,0)
🌞	0.01	0.01	0.00	(2,2,0)
🍗	0.01	0.00	0.03	(2,0,2)
🍦	0.01	0.00	0.01	(2,1,1)
🍹	0.01	0.01	0.00	(2,2,0)
🎁	0.01	0.01	0.00	(2,2,0)
🎶	0.01	0.01	0.00	(2,2,0)
👁	0.01	0.00	0.03	(2,0,2)
👈	0.01	0.01	0.00	(2,2,0)
👿	0.01	0.00	0.03	(2,0,2)
💁	0.01	0.01	0.00	(2,2,0)
💞	0.01	0.00	0.03	(2,0,2)
💵	0.01	0.00	0.01	(2,1,1)
📅	0.01	0.01	0.00	(2,2,0)
📆	0.01	0.01	0.00	(2,2,0)
📋	0.01	0.01	0.00	(2,2,0)
🔝	0.01	0.00	0.03	(2,0,2)
🔴	0.01	0.01	0.00	(2,2,0)
🖐	0.01	0.00	0.03	(2,0,2)
🗓	0.01	0.01	0.00	(2,2,0)
😎	0.01	0.01	0.00	(2,2,0)
😐	0.01	0.00	0.01	(2,1,1)
😑	0.01	0.00	0.01	(2,1,1)
😥	0.01	0.00	0.01	(2,1,1)
😵	0.01	0.00	0.01	(2,1,1)
😶‍🌫	0.01	0.01	0.00	(2,2,0)
😿	0.01	0.00	0.03	(2,0,2)
🤗	0.01	0.01	0.00	(2,2,0)
🤢	0.01	0.00	0.03	(2,0,2)
🪩	0.01	0.01	0.00	(2,2,0)
🫤	0.01	0.01	0.00	(2,2,0)
🫨	0.01	0.00	0.01	(2,1,1)
0⃣	0.00	0.00	0.01	(1,0,1)
☀	0.00	0.00	0.00	(1,1,0)
☑	0.00	0.00	0.01	(1,0,1)
⛵	0.00	0.00	0.00	(1,1,0)
✔	0.00	0.00	0.01	(1,0,1)
✖	0.00	0.00	0.01	(1,0,1)
⭐	0.00	0.00	0.01	(1,0,1)
🇫🇷	0.00	0.00	0.01	(1,0,1)
🇮🇷	0.00	0.00	0.01	(1,0,1)
🇲🇦	0.00	0.00	0.01	(1,0,1)
🇺🇸	0.00	0.00	0.01	(1,0,1)
🌈	0.00	0.00	0.01	(1,0,1)
🌟	0.00	0.00	0.01	(1,0,1)
🌱	0.00	0.00	0.01	(1,0,1)
🌲	0.00	0.00	0.00	(1,1,0)
🌳	0.00	0.00	0.00	(1,1,0)
🌶	0.00	0.00	0.01	(1,0,1)
🌼	0.00	0.00	0.00	(1,1,0)
🍀	0.00	0.00	0.00	(1,1,0)
🍊	0.00	0.00	0.01	(1,0,1)
🍔	0.00	0.00	0.01	(1,0,1)
🍝	0.00	0.00	0.00	(1,1,0)
🍸	0.00	0.00	0.00	(1,1,0)
🍾	0.00	0.00	0.01	(1,0,1)
🎆	0.00	0.00	0.01	(1,0,1)
🎖	0.00	0.00	0.01	(1,0,1)
🎧	0.00	0.00	0.00	(1,1,0)
🎵	0.00	0.00	0.00	(1,1,0)
🏢	0.00	0.00	0.01	(1,0,1)
🐄	0.00	0.00	0.00	(1,1,0)
🐐	0.00	0.00	0.01	(1,0,1)
🐣	0.00	0.00	0.00	(1,1,0)
🐦	0.00	0.00	0.01	(1,0,1)
🐧	0.00	0.00	0.01	(1,0,1)
🐳	0.00	0.00	0.00	(1,1,0)
👨‍🎓	0.00	0.00	0.00	(1,1,0)
👩‍❤‍👨	0.00	0.00	0.00	(1,1,0)
👩‍❤‍💋‍👩	0.00	0.00	0.01	(1,0,1)
👮	0.00	0.00	0.01	(1,0,1)
👼	0.00	0.00	0.01	(1,0,1)
💂	0.00	0.00	0.01	(1,0,1)
💊	0.00	0.00	0.01	(1,0,1)
💋	0.00	0.00	0.01	(1,0,1)
💐	0.00	0.00	0.00	(1,1,0)
💕	0.00	0.00	0.00	(1,1,0)
💗	0.00	0.00	0.00	(1,1,0)
💜	0.00	0.00	0.00	(1,1,0)
💡	0.00	0.00	0.01	(1,0,1)
💣	0.00	0.00	0.01	(1,0,1)
💩	0.00	0.00	0.01	(1,0,1)
💭	0.00	0.00	0.01	(1,0,1)
💰	0.00	0.00	0.00	(1,1,0)
💸	0.00	0.00	0.01	(1,0,1)
💻	0.00	0.00	0.00	(1,1,0)
📥	0.00	0.00	0.00	(1,1,0)
📦	0.00	0.00	0.00	(1,1,0)
📩	0.00	0.00	0.00	(1,1,0)
📲	0.00	0.00	0.00	(1,1,0)
🔍	0.00	0.00	0.01	(1,0,1)
🕎	0.00	0.00	0.01	(1,0,1)
🕐	0.00	0.00	0.01	(1,0,1)
🕒	0.00	0.00	0.00	(1,1,0)
🕘	0.00	0.00	0.00	(1,1,0)
🗣	0.00	0.00	0.01	(1,0,1)
🗿	0.00	0.00	0.01	(1,0,1)
😌	0.00	0.00	0.00	(1,1,0)
😒	0.00	0.00	0.01	(1,0,1)
😛	0.00	0.00	0.01	(1,0,1)
😟	0.00	0.00	0.00	(1,1,0)
😣	0.00	0.00	0.00	(1,1,0)
