A totals: messages=2992, reactions=913, engagements=3905
B totals: messages=2992, reactions=913, engagements=3905

=== Category A (by combined rate) ===
emoji	combined/100eng	body/100msg	react/100react	counts(comb,body,react)

=== Category B (by combined rate) ===
emoji	combined/100eng	body/100msg	react/100react	counts(comb,body,react)
🙏	7.48	3.68	19.93	(292,110,182)
➕	7.27	0.00	31.11	(284,0,284)
❤	5.53	1.24	19.61	(216,37,179)
👍	2.74	0.00	11.72	(107,0,107)
😂	1.31	0.13	5.15	(51,4,47)
🙌	0.67	0.77	0.33	(26,23,3)
👑	0.61	0.17	2.08	(24,5,19)
🫶	0.59	0.67	0.33	(23,20,3)
✔	0.41	0.53	0.00	(16,16,0)
👆	0.41	0.10	1.42	(16,3,13)
😅	0.38	0.50	0.00	(15,15,0)
🫠	0.31	0.33	0.22	(12,10,2)
✊	0.28	0.27	0.33	(11,8,3)
🤍	0.28	0.37	0.00	(11,11,0)
🙃	0.26	0.33	0.00	(10,10,0)
✨	0.23	0.30	0.00	(9,9,0)
😍	0.23	0.03	0.88	(9,1,8)
💪	0.20	0.23	0.11	(8,7,1)
😮	0.20	0.00	0.88	(8,0,8)
🥲	0.20	0.13	0.44	(8,4,4)
🔹	0.18	0.23	0.00	(7,7,0)
😊	0.18	0.23	0.00	(7,7,0)
😡	0.18	0.20	0.11	(7,6,1)
🤩	0.18	0.23	0.00	(7,7,0)
🤷	0.18	0.23	0.00	(7,7,0)
🥳	0.18	0.07	0.55	(7,2,5)
✅	0.15	0.17	0.11	(6,5,1)
📍	0.15	0.20	0.00	(6,6,0)
☺	0.13	0.17	0.00	(5,5,0)
❤‍🔥	0.13	0.13	0.11	(5,4,1)
🌸	0.13	0.17	0.00	(5,5,0)
📌	0.13	0.17	0.00	(5,5,0)
🕊	0.13	0.17	0.00	(5,5,0)
🙂	0.13	0.17	0.00	(5,5,0)
🤞	0.13	0.17	0.00	(5,5,0)
🎯	0.10	0.13	0.00	(4,4,0)
👏	0.10	0.00	0.44	(4,0,4)
🥴	0.10	0.13	0.00	(4,4,0)
🩷	0.10	0.13	0.00	(4,4,0)
✋	0.08	0.00	0.33	(3,0,3)
🌰	0.08	0.10	0.00	(3,3,0)
🎓	0.08	0.10	0.00	(3,3,0)
🐭	0.08	0.10	0.00	(3,3,0)
🐱	0.08	0.10	0.00	(3,3,0)
👎	0.08	0.00	0.33	(3,0,3)
💕	0.08	0.03	0.22	(3,1,2)
💙	0.08	0.07	0.11	(3,2,1)
💰	0.08	0.10	0.00	(3,3,0)
💸	0.08	0.10	0.00	(3,3,0)
📞	0.08	0.10	0.00	(3,3,0)
📣	0.08	0.10	0.00	(3,3,0)
📧	0.08	0.10	0.00	(3,3,0)
🔌	0.08	0.10	0.00	(3,3,0)
🕺	0.08	0.10	0.00	(3,3,0)
🖊	0.08	0.10	0.00	(3,3,0)
😁	0.08	0.10	0.00	(3,3,0)
😢	0.08	0.03	0.22	(3,1,2)
🙋	0.08	0.07	0.11	(3,2,1)
🛌	0.08	0.10	0.00	(3,3,0)
🤔	0.08	0.07	0.11	(3,2,1)
🧐	0.08	0.10	0.00	(3,3,0)
🧚	0.08	0.10	0.00	(3,3,0)
☘	0.05	0.07	0.00	(2,2,0)
♥	0.05	0.03	0.11	(2,1,1)
✌	0.05	0.07	0.00	(2,2,0)
✍	0.05	0.07	0.00	(2,2,0)
🌻	0.05	0.07	0.00	(2,2,0)
🎊	0.05	0.03	0.11	(2,1,1)
🏡	0.05	0.07	0.00	(2,2,0)
🐊	0.05	0.07	0.00	(2,2,0)
👌	0.05	0.00	0.22	(2,0,2)
👩‍🎓	0.05	0.07	0.00	(2,2,0)
👸	0.05	0.00	0.22	(2,0,2)
💃	0.05	0.07	0.00	(2,2,0)
💊	0.05	0.07	0.00	(2,2,0)
📚	0.05	0.07	0.00	(2,2,0)
📢	0.05	0.07	0.00	(2,2,0)
🔗	0.05	0.07	0.00	(2,2,0)
😔	0.05	0.03	0.11	(2,1,1)
😟	0.05	0.00	0.22	(2,0,2)
😭	0.05	0.07	0.00	(2,2,0)
😱	0.05	0.00	0.22	(2,0,2)
🙈	0.05	0.07	0.00	(2,2,0)
🚨	0.05	0.07	0.00	(2,2,0)
🤚	0.05	0.00	0.22	(2,0,2)
🤠	0.05	0.07	0.00	(2,2,0)
🤦	0.05	0.03	0.11	(2,1,1)
🤪	0.05	0.07	0.00	(2,2,0)
🥁	0.05	0.00	0.22	(2,0,2)
🥺	0.05	0.03	0.11	(2,1,1)
🪩	0.05	0.07	0.00	(2,2,0)
🪬	0.05	0.07	0.00	(2,2,0)
🪻	0.05	0.07	0.00	(2,2,0)
🫥	0.05	0.03	0.11	(2,1,1)
☝	0.03	0.03	0.00	(1,1,0)
🌅	0.03	0.03	0.00	(1,1,0)
🌙	0.03	0.03	0.00	(1,1,0)
🌼	0.03	0.03	0.00	(1,1,0)
🍂	0.03	0.03	0.00	(1,1,0)
🍣	0.03	0.03	0.00	(1,1,0)
🍴	0.03	0.03	0.00	(1,1,0)
🍹	0.03	0.03	0.00	(1,1,0)
🎁	0.03	0.03	0.00	(1,1,0)
🎖	0.03	0.03	0.00	(1,1,0)
🏃	0.03	0.03	0.00	(1,1,0)
🏝	0.03	0.03	0.00	(1,1,0)
🏠	0.03	0.03	0.00	(1,1,0)
🐥	0.03	0.03	0.00	(1,1,0)
👨‍💻	0.03	0.00	0.11	(1,0,1)
👮	0.03	0.03	0.00	(1,1,0)
💅	0.03	0.03	0.00	(1,1,0)
💌	0.03	0.03	0.00	(1,1,0)
💚	0.03	0.03	0.00	(1,1,0)
💞	0.03	0.00	0.11	(1,0,1)
💡	0.03	0.03	0.00	(1,1,0)
💥	0.03	0.03	0.00	(1,1,0)
💨	0.03	0.03	0.00	(1,1,0)
💯	0.03	0.00	0.11	(1,0,1)
💻	0.03	0.03	0.00	(1,1,0)
📈	0.03	0.03	0.00	(1,1,0)
📉	0.03	0.03	0.00	(1,1,0)
📊	0.03	0.03	0.00	(1,1,0)
📋	0.03	0.03	0.00	(1,1,0)
📦	0.03	0.03	0.00	(1,1,0)
📩	0.03	0.03	0.00	(1,1,0)
📲	0.03	0.03	0.00	(1,1,0)
🔥	0.03	0.03	0.00	(1,1,0)
🕒	0.03	0.03	0.00	(1,1,0)
😀	0.03	0.03	0.00	(1,1,0)
😄	0.03	0.03	0.00	(1,1,0)
😎	0.03	0.03	0.00	(1,1,0)
😐	0.03	0.03	0.00	(1,1,0)
😑	0.03	0.03	0.00	(1,1,0)
😒	0.03	0.00	0.11	(1,0,1)
😤	0.03	0.00	0.11	(1,0,1)
😬	0.03	0.03	0.00	(1,1,0)
😯	0.03	0.03	0.00	(1,1,0)
😳	0.03	0.03	0.00	(1,1,0)
😴	0.03	0.03	0.00	(1,1,0)
😶‍🌫	0.03	0.03	0.00	(1,1,0)
😻	0.03	0.03	0.00	(1,1,0)
🙁	0.03	0.03	0.00	(1,1,0)
🚍	0.03	0.03	0.00	(1,1,0)
🛀	0.03	0.03	0.00	(1,1,0)
🛋	0.03	0.03	0.00	(1,1,0)
🛏	0.03	0.03	0.00	(1,1,0)
🤓	0.03	0.03	0.00	(1,1,0)
🤖	0.03	0.03	0.00	(1,1,0)
🤝	0.03	0.03	0.00	(1,1,0)
🤟	0.03	0.03	0.00	(1,1,0)
🤨	0.03	0.03	0.00	(1,1,0)
🥰	0.03	0.00	0.11	(1,0,1)
🥹	0.03	0.03	0.00	(1,1,0)
🧠	0.03	0.03	0.00	(1,1,0)
🧩	0.03	0.03	0.00	(1,1,0)
🩵	0.03	0.00	0.11	(1,0,1)
🫖	0.03	0.03	0.00	(1,1,0)
🫣	0.03	0.03	0.00	(1,1,0)
🫰	0.03	0.03	0.00	(1,1,0)
